0.596340 -0.487914 1.680593
1.192679 0.108425 2.276933
1.789019 0.704765 2.873272
2.385358 1.301104 3.469612
2.981698 1.897444 4.065952
3.578037 2.493784 4.662291
4.174377 3.090123 5.258631
4.770716 3.686463 5.854970
5.367056 4.282802 6.451310
5.963396 4.879142 7.047649
6.559735 5.475481 7.643989
7.156075 6.071821 8.240328
7.752414 6.668160 8.836668
8.348754 7.264500 9.433008
8.945093 7.860840 10.029347
9.541433 8.457179 10.625687
10.137772 9.053519 11.222026
10.734112 9.649858 11.818366
11.330452 10.246198 12.414705
11.926791 10.842537 13.011045
